absolute time,reward,time,,
1596257628.304,387.000,15.475,,
1596257628.316,388.000,15.486,,
1596257628.328,389.000,15.499,,
1596257628.366,390.000,15.536,,
1596257628.384,390.000,15.555,,
1596257628.395,390.000,15.566,,
1596257628.407,390.000,15.578,,
1596257628.424,390.000,15.595,,
1596257628.447,390.000,15.617,,
1596257628.459,390.000,15.630,,
1596257628.485,391.000,15.656,,
1596257628.498,391.000,15.669,,
1596257628.513,392.000,15.683,,
1596257628.525,393.000,15.696,,
1596257628.573,394.000,15.744,,
1596257628.589,395.000,15.760,,
1596257628.606,396.000,15.777,,
1596257628.638,397.000,15.809,,
1596257628.660,398.000,15.830,,
1596257628.703,399.000,15.874,,
1596257628.728,400.000,15.899,,
1596257628.745,401.000,15.916,,
1596257628.757,402.000,15.927,,
1596257628.787,403.000,15.958,,
1596257628.801,404.000,15.971,,
1596257628.827,405.000,15.998,,
1596257628.846,406.000,16.016,,
1596257628.867,407.000,16.037,,
1596257628.881,408.000,16.052,,
1596257628.893,409.000,16.064,,
1596257628.907,410.000,16.078,,
1596257628.929,411.000,16.100,,
1596257628.960,412.000,16.131,,
1596257629.021,413.000,16.192,,
1596257629.047,414.000,16.217,,
1596257629.069,415.000,16.240,,
1596257629.123,416.000,16.293,,
1596257629.149,417.000,16.320,,
1596257629.166,418.000,16.337,,
1596257629.199,419.000,16.370,,
1596257629.230,420.000,16.401,,
1596257629.253,421.000,16.424,,
1596257629.266,422.000,16.436,,
1596257629.281,423.000,16.451,,
1596257629.309,424.000,16.479,,
1596257629.383,425.000,16.553,,
1596257629.406,426.000,16.576,,
1596257629.418,427.000,16.589,,
1596257629.442,428.000,16.613,,
1596257629.475,429.000,16.645,,
1596257629.494,430.000,16.664,,
1596257629.525,431.000,16.696,,
1596257629.560,432.000,16.731,,
1596257629.574,433.000,16.745,,
1596257629.595,434.000,16.766,,
1596257629.665,435.000,16.835,,
1596257629.689,436.000,16.859,,
1596257629.702,437.000,16.872,,
1596257629.729,438.000,16.899,,
1596257629.742,439.000,16.913,,
1596257629.763,440.000,16.933,,
1596257629.837,441.000,17.008,,
1596257629.872,442.000,17.042,,
1596257629.891,443.000,17.061,,
1596257629.906,444.000,17.076,,
1596257629.915,445.000,17.085,,
1596257629.923,446.000,17.094,,
1596257629.943,447.000,17.114,,
1596257629.986,448.000,17.157,,
1596257630.007,449.000,17.178,,
1596257630.022,450.000,17.193,,
1596257630.033,451.000,17.204,,
1596257630.104,452.000,17.275,,
1596257630.128,453.000,17.299,,
1596257630.141,454.000,17.312,,
1596257630.161,455.000,17.332,,
1596257630.172,456.000,17.343,,
1596257630.185,457.000,17.355,,
1596257630.212,458.000,17.382,,
1596257630.247,459.000,17.418,,
1596257630.290,460.000,17.460,,
1596257630.302,461.000,17.473,,
1596257630.316,462.000,17.487,,
1596257630.349,463.000,17.519,,
1596257630.362,464.000,17.533,,
1596257630.375,465.000,17.546,,
1596257630.389,466.000,17.559,,
1596257630.402,467.000,17.573,,
1596257630.429,468.000,17.600,,
1596257630.448,469.000,17.619,,
1596257630.460,470.000,17.631,,
1596257630.473,471.000,17.643,,
1596257630.485,472.000,17.656,,
1596257630.500,473.000,17.671,,
1596257630.521,474.000,17.691,,
1596257630.535,475.000,17.706,,
1596257630.551,476.000,17.721,,
1596257630.562,477.000,17.733,,
1596257630.589,478.000,17.759,,
1596257630.607,479.000,17.778,,
1596257630.621,480.000,17.792,,
1596257630.652,481.000,17.822,,
1596257630.669,482.000,17.839,,
1596257630.686,483.000,17.857,,
1596257630.749,483.000,17.920,,
1596257630.762,483.000,17.932,,
1596257630.773,483.000,17.943,,
1596257630.784,483.000,17.954,,
1596257630.796,483.000,17.966,,
1596257630.814,483.000,17.984,,
1596257630.833,483.000,18.003,,
1596257630.846,483.000,18.017,,
1596257630.864,483.000,18.035,,
1596257630.878,483.000,18.049,,
1596257630.895,483.000,18.065,,
1596257630.946,483.000,18.116,,
1596257630.964,483.000,18.135,,
1596257630.980,483.000,18.150,,
1596257631.005,483.000,18.176,,
1596257631.034,483.000,18.205,,
1596257631.048,483.000,18.219,,
1596257631.063,483.000,18.234,,
1596257631.078,483.000,18.249,,
1596257631.092,483.000,18.262,,
